"Y","x"
0.361989759100226,0.1
0.498508370205552,0.2
0.393388407817494,0.3
0.659847688222905,0.4
0.727328288537753,0.5
0.680289969134228,0.6
0.680184773499301,0.7
0.915253799328765,0.8
0.852867704224063,0.9
0.825328923441291,1
0.918314884360683,1.1
0.629102235219148,1.2
1.00178531095186,1.3
0.816441350965583,1.4
0.735483296030231,1.5
0.788305798657514,1.6
0.791799298369857,1.7
0.606022943173761,1.8
0.5724484045435,1.9
0.375665727611781,2
0.422049526806553,2.1
0.322952710586976,2.2
0.137755594563238,2.3
0.218762181159787,2.4
0.0592162662146295,2.5
-0.377321772053284,2.6
-0.102761351719095,2.7
-0.148442356516389,2.8
-0.203272488610689,2.9
-0.345789086031435,3
-0.193159429505254,3.1
-0.451248106295162,3.2
-0.37110332864279,3.3
-0.397388820270275,3.4
-0.498942447258139,3.5
-0.354409105074042,3.6
-0.330626994589604,3.7
-0.57921899599237,3.8
-0.452585135077703,3.9
-0.0720494719945002,4
-0.134251745721609,4.1
-0.465880573980824,4.2
-0.221744358295832,4.3
-0.336422408887245,4.4
-0.355230837847666,4.5
-0.398910653633485,4.6
-0.309511746639872,4.7
-0.325812065132359,4.8
-0.180606777690527,4.9
-0.41151801098595,5
-0.151223434391111,5.1
-0.247423916732218,5.2
-0.0728886479134677,5.3
-0.00390185053921072,5.4
-0.29121745018169,5.5
-0.0997034593012376,5.6
-0.266342155591726,5.7
-0.284010603391648,5.8
-0.170101686791783,5.9
-0.413873520095736,6
-0.240567440373136,6.1
-0.101902460675482,6.2
-0.299122656669418,6.3
0.0120924148171029,6.4
-0.415678622894674,6.5
-0.220779901436311,6.6
-0.282657196969501,6.7
-0.639010554880031,6.8
-0.511948273193347,6.9
-0.25141287572398,7
-0.412852945733928,7.1
-0.375626321341246,7.2
-0.745283604896646,7.3
-0.545093684610102,7.4
-0.275249439609594,7.5
-0.0467199357382694,7.6
-0.241244262484587,7.7
-0.435506239701609,7.8
-0.44921090273108,7.9
-0.276941656307782,8
0.00894769747542243,8.1
0.0867970938810375,8.2
-0.150320812058982,8.3
-0.0111267308505458,8.4
0.244107762142172,8.5
0.442428706666878,8.6
0.427781467203016,8.7
0.62751120766661,8.8
0.25760859210347,8.9
0.62729465035323,9
0.649340938716383,9.1
0.790100174004006,9.2
0.854217145117896,9.3
0.657339277931258,9.4
0.931913984772563,9.5
0.773819847283826,9.6
0.897084360985176,9.7
0.803398315977853,9.8
0.899822224428774,9.9
0.925474509762373,10
0.910626224726541,10.1
0.769726520045439,10.2
0.568745323462713,10.3
0.660436833912294,10.4
0.599003559851905,10.5
0.412263531204555,10.6
0.543872997769212,10.7
0.53911875349337,10.8
0.402917657894228,10.9
0.0262927594426787,11
0.387462964735292,11.1
0.0338696481228922,11.2
0.0529077739305576,11.3
0.00445468838376153,11.4
0.16192882807012,11.5
-0.0815440493203393,11.6
-0.035335123909361,11.7
-0.32333753059567,11.8
-0.362266529852844,11.9
-0.398504077764476,12
-0.343698702659842,12.1
-0.384659358762176,12.2
-0.564281323957798,12.3
-0.349505001942575,12.4
-0.591604935861116,12.5
-0.234402597563841,12.6
-0.209506141093999,12.7
-0.315652408667401,12.8
-0.540506292582023,12.9
-0.386134392323672,13
